,precision,recall,f1-score,support
0,0.6980609418282548,0.7,0.6990291262135923,360.0
1,0.6991643454038997,0.6972222222222222,0.6981919332406119,360.0
accuracy,0.6986111111111111,0.6986111111111111,0.6986111111111111,0.6986111111111111
macro avg,0.6986126436160773,0.6986111111111111,0.6986105297271021,720.0
weighted avg,0.6986126436160772,0.6986111111111111,0.6986105297271021,720.0
